"Region","State","Project Name","Delivery Track","BTS / Customer","Site id","Site Name","Loading date from wi team","Permission Required Date","Complete date","TAT","Aging","WI TAT","TAT Remarks","Pending/YTS","Remarks","Another Remarks if Required","Work Order Status","Work Order (WO) Remarks"
"East","Orissa","BH migration from TTSL to alternate FY25","BTS Survey","BTS","ORIPUR0670","Puri_018_GSM","45671.0","45671.0","45673.0","2","582","3.0","In TAT","Fully Completed","67","","","NIL"
"East","West Bengal","L1-L2 improvement FY24 Ph-2, 80 sites","BTS Installation","BTS","IN-1023313","BALLYGUNGE","45684.0","45684.0","45700.0","16","569","5.0","Outside TAT","Fully Completed","Access issue at IM end","67","","NIL"
"East","West Bengal","L1-L2 improvement FY24 Ph-2, 80 sites","UBR BH Installation","UBR BH","IN-1023313","BALLYGUNGE","45684.0","45684.0","45700.0","16","569","5.0","Outside TAT","Fully Completed","Access issue at IM end","67","","NIL"
"East","Jharkhand","PTP to PMP Phase-II Extn. Customer Migration","Customer Survey","Customer","091JAMS623034041020","IDFC FIRST BANK LIMITED","45672.0","45672.0","45675.0","3","581","3.0","In TAT","Fully Completed","163"
"East","Orissa","Emergency Relocation","UBR BH Survey","UBR BH","OR/CU/VO/10012","TELENGAPENTHA","45632.0","45632.0","45633.0","1","621","3.0","In TAT","Fully Completed","67","","","WO Order Release But dut to PO shortfall New WO Not Release"
"East","Jharkhand","Platform Migration-Ph4 PTP To PMP","PMP Customer Installation","Customer","091JAMS623034041020","IDFC FIRST BANK LIMITED","45672.0","45672.0","45675.0","3","581","5.0","In TAT","Fully Completed","163"
"East","Jharkhand","PTP to PMP Phase-II Extn. Customer Migration","Customer Survey","Customer","091RANC623034318311","UNION BANK OF INDIA","45646.0","45656.0","45661.0","5","597","3.0","Outside TAT","Fully Completed","Previous survey TAT was 5 days","67","","NIL"
"East","Jharkhand","PTP to PMP Phase-II Extn. Customer Migration","PMP Customer Installation","Customer","091RANC623017021258","Bajaj Finance Limited","45674.0","45675.0","45678.0","3","578","5.0","In TAT","Fully Completed","67","","","NIL"
"East","West Bengal","L1-L2 Improvement- 40 Sites","BTS Survey","BTS","IN-1037824","RANAGHAT","45677.0","45677.0","45679.0","2","576","3.0","In TAT","Fully Completed","67","","","NIL"
"East","West Bengal","L1-L2 Improvement- 40 Sites","BTS Installation","BTS","IN-1037824","RANAGHAT","45677.0","45677.0","45679.0","2","576","5.0","In TAT","Fully Completed","67","","","NIL"
"East","Orissa","BS Augment: UBR Backhaul to Direct FY24","BTS Survey","BTS","ORGT10168","New Bus stand-Athagarh","45679.0","45679.0","45684.0","5","574","3.0","Outside TAT","Fully Completed","Previous survey TAT was 5 days","67","","NIL"
"East","Orissa","BS Augment: UBR Backhaul to Direct FY24","BTS Survey","Customer","091ATHA6230A0052113","ICICI Bank Limited","45679.0","45679.0","45684.0","5","574","3.0","Outside TAT","Fully Completed","Previous survey TAT was 5 days","67","","NIL"
"East","West Bengal","BH migration from TTSL to alternate FY25","WAN survey","BTS","WEBSOU0879","Joynagar-01","45678.0","45679.0","45680.0","1","574","2.0","In TAT","Fully Completed","67","","","NIL"
"East","Orissa","CX4 to Conventional BH FY 25","BTS Survey","BTS","ORGT10639","Deogarh","45679.0","45681.0","45684.0","3","572","3.0","In TAT","Fully Completed","67","","","NIL"
"East","West Bengal","BH Augmentation - BAU-UBR BH FY25","UBR BH Dismantle","UBR BH","WEBBUR0936","Katwa","45666.0","45666.0","45667.0","1","587","7.0","In TAT","Fully Completed","67","","","NIL"
"East","West Bengal","Emergency Relocation","BTS Dismantle","BTS","IN-1037083","MEDIA CHOUMATHA","45652.0","45712.0","45713.0","1","541","7.0","In TAT","Fully Completed","Access issue","67","","NIL"
